id,claim,source_type,outlet_org,date,url,archived_url,notes
E-001,Auditorías post-electorales no realizadas,Prensa/experto,(por completar),2024-08-22,<url>,<archive_url>,Fechas de auditorías y cancelación.
E-002,No publicación de resultados por mesa,Informe,(por completar),2025-02-18,<url>,<archive_url>,Omisión de publicación por mesa / Gaceta.
E-003,TSJ realizó peritaje sin competencia,Prensa/experto,(por completar),2024-08-17,<url>,<archive_url>,Peritaje y críticas técnicas.
E-200,Hecho documentado: El cronograma oficial de la elección presidencial de julio de 2024 contemplaba tres auditorías posteriores: auditoría de telecomunicaciones F,(por clasificar),prensacomunitaria.org,,https://prensacomunitaria.org/2024/08/venezuela-las-auditorias-para-verificar-resultados-electorales-que-no-ha-hecho-el-cne/,,Auto-import desde DOCX
E-201,Hecho documentado: El cronograma oficial de la elección presidencial de julio de 2024 contemplaba tres auditorías posteriores: auditoría de telecomunicaciones F,(por clasificar),ktvz.com,,https://cnnespanol.cnn.com/2024/08/22/auditorias-cne-no-hizo-elecciones-presidenciales-venezuela-orix,,Auto-import desde DOCX
E-202,Hecho documentado: El cronograma oficial de la elección presidencial de julio de 2024 contemplaba tres auditorías posteriores: auditoría de telecomunicaciones F,(por clasificar),assets.lupa.news,,https://assets.lupa.news/167/16769184.pdf,,Auto-import desde DOCX
E-203,Hecho documentado: El cronograma oficial de la elección presidencial de julio de 2024 contemplaba tres auditorías posteriores: auditoría de telecomunicaciones F,(por clasificar),prodavinci.com,,https://prodavinci.com/panel-de-expertos-de-la-onu-el-proceso-de-gestion-de-resultados-por-parte-del-cne-no-cumplio-con-las-medidas-basicas-de-transparencia-e-integridad/,,Auto-import desde DOCX
E-204,Hecho documentado: El cronograma oficial de la elección presidencial de julio de 2024 contemplaba tres auditorías posteriores: auditoría de telecomunicaciones F,(por clasificar),www.cartercenter.org,,https://www.cartercenter.org/resources/pdfs/news/peace_publications/election_reports/venezuela/venezuela-final-report-2025.pdf,,Auto-import desde DOCX
E-205,Hecho documentado: El cronograma oficial de la elección presidencial de julio de 2024 contemplaba tres auditorías posteriores: auditoría de telecomunicaciones F,(por clasificar),elpais.com,,https://elpais.com/america/2025-02-18/el-centro-carter-da-por-buenas-las-actas-de-la-oposicion-y-certifica-que-edmundo-gonzalez-gano-las-elecciones.html,,Auto-import desde DOCX
E-206,Hecho documentado: El cronograma oficial de la elección presidencial de julio de 2024 contemplaba tres auditorías posteriores: auditoría de telecomunicaciones F,(por clasificar),elpais.com,,https://elpais.com/america/2024-08-27/uno-de-los-rectores-del-cne-denuncia-irregularidades-en-las-elecciones-de-venezuela.html,,Auto-import desde DOCX
E-207,Hecho documentado: El cronograma oficial de la elección presidencial de julio de 2024 contemplaba tres auditorías posteriores: auditoría de telecomunicaciones F,(por clasificar),elpitazo.net,,https://elpitazo.net/politica/juan-carlos-delpino-revela-que-recibio-propuestas-para-aceptar-resultados-del-cne-fue-algo-desproporcionado/,,Auto-import desde DOCX
E-208,Hecho documentado: El cronograma oficial de la elección presidencial de julio de 2024 contemplaba tres auditorías posteriores: auditoría de telecomunicaciones F,(por clasificar),www.infobae.com,,https://www.infobae.com/venezuela/2024/11/01/una-ong-denuncio-que-el-parlamento-de-venezuela-incumplio-la-ley-al-destituir-a-un-rector-electoral/,,Auto-import desde DOCX
E-209,Hecho documentado: El cronograma oficial de la elección presidencial de julio de 2024 contemplaba tres auditorías posteriores: auditoría de telecomunicaciones F,(por clasificar),www.elnacional.com,,https://www.elnacional.com/2024/10/juan-carlos-delpino-responde-a-la-an-por-destitucion-del-cne-e-investigacion-en-su-contra/,,Auto-import desde DOCX
E-210,Hecho documentado: El cronograma oficial de la elección presidencial de julio de 2024 contemplaba tres auditorías posteriores: auditoría de telecomunicaciones F,(por clasificar),www.elnacional.com,,https://www.elnacional.com/2024/10/an-designara-nuevo-rector-del-cne-ante-ausencia-de-juan-carlos-delpino/,,Auto-import desde DOCX
